etID  | Classical Latin | Popular Latin | Popular Latin {GOLD} | Middle Spanish | Output {GOLD}
0      | #ˈuːn̪um# | *#ˈuːn̪um# | *#ˈuːn̪um# {GOLD: #ˈun̪o#} | *#ˈun̪o# | *#ˈun̪o# {GOLD: #ˈun̪o#}
1      | #ˈuːn̪ɑm# | *#ˈuːn̪ɑm# | *#ˈuːn̪ɑm# {GOLD: #ˈun̪a#} | *#ˈun̪ɑ# | *#ˈun̪ɑ# {GOLD: #ˈun̪a#}
2      | #ˌuːn̪um# | *#ˌuːn̪um# | *#ˌuːn̪um# {GOLD: #ˌun̪#} | *#ˌun̪o# | *#un̪o# {GOLD: #un̪#}
3      | #ˌuːn̪ɑm# | *#ˌuːn̪ɑm# | *#ˌuːn̪ɑm# {GOLD: #ˌun̪a#} | *#ˌun̪ɑ# | *#un̪ɑ# {GOLD: #un̪a#}
4      | #prˈiːmum# | *#prˈiːmum# | *#prˈiːmum# {GOLD: #pɾˈimo#} | *#pɾˈimo# | *#pɾˈimo# {GOLD: #pɾimˈeɾo#}
5      | #prˌiːmˈɑːrium# | *#prˌiːmˈɑːrium# | *#prˌiːmˈɑːrium# {GOLD: #pɾimˈeɾo#} | *#pɾˌimˈeɾo# | *#pɾimˈeɾo# {GOLD: #pɾimˈeɾo#}
6      | #sˈimplum# | *#sˈimplum# | *#sˈimplum# {GOLD: #sˈimple#} | *#sˈen̪t͡ʃo# | *#sˈen̪t͡ʃo# {GOLD: #sˈimple#}
7      | #ˈin̪t̪eɡrum# | *#ˈin̪t̪eɡrum# | *#ˈin̪t̪eɡrum# {GOLD: #ˌen̪t̪ˈeɡɾo#} | *#ˈen̪t̪eɡɾo# | *#ˈen̪t̪eɡɾo# {GOLD: #ˌen̪t̪ˈeɾo#}
8      | #d̪uˈo# | *#d̪uˈo# | *#d̪uˈo# {GOLD: #d̪ˈos#} | *#d̪ˈo# | *#d̪ˈo# {GOLD: #d̪ˈos#}
9      | #d̪uˈoːs# | *#d̪uˈoːs# | *#d̪uˈoːs# {GOLD: #d̪ˈos#} | *#d̪ˈos# | *#d̪ˈos# {GOLD: #d̪ˈos#}
10     | #d̪ˈuae̯# | *#d̪ˈuae̯# | *#d̪ˈuae̯# {GOLD: #d̪ˈuas#} | *#d̪ˈoj# | *#d̪ˈoj# {GOLD: #d̪ˈuas#}
11     | #d̪ˈuɑːs# | *#d̪ˈuɑːs# | *#d̪ˈuɑːs# {GOLD: #d̪ˈuas#} | *#d̪ˈoɑs# | *#d̪ˈoɑs# {GOLD: #d̪ˈuas#}
